id,issue_key,date,error,suggestion
1,KAN-30,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
2,KAN-31,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
3,KAN-31,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
4,KAN-32,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
5,KAN-32,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
6,KAN-32,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
7,KAN-31,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
8,KAN-33,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
9,KAN-30,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
10,KAN-34,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
11,KAN-35,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
12,KAN-36,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
13,KAN-37,2026-05-04,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
14,KAN-30,2026-05-05,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
15,KAN-31,2026-05-05,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
16,KAN-31,2026-05-05,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
17,KAN-33,2026-05-05,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
18,KAN-30,2026-05-05,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
19,KAN-35,2026-05-05,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
20,KAN-36,2026-05-05,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
21,KAN-37,2026-05-05,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
22,KAN-30,2026-05-06,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
23,KAN-31,2026-05-06,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
24,KAN-31,2026-05-06,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
25,KAN-31,2026-05-06,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
26,KAN-30,2026-05-06,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
27,KAN-35,2026-05-06,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
28,KAN-37,2026-05-06,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
29,KAN-30,2026-05-07,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
30,KAN-31,2026-05-07,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
31,KAN-31,2026-05-07,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
32,KAN-30,2026-05-07,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
33,KAN-38,2026-05-07,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
34,KAN-35,2026-05-07,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
35,KAN-37,2026-05-07,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
36,KAN-31,2026-05-08,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
37,KAN-31,2026-05-08,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
38,KAN-33,2026-05-08,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
39,KAN-35,2026-05-08,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
40,KAN-37,2026-05-08,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
41,KAN-32,2026-05-11,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
42,KAN-34,2026-05-11,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
43,KAN-37,2026-05-11,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
44,KAN-30,2026-05-11,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
45,KAN-30,2026-05-11,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
46,KAN-31,2026-05-11,"HTTP 400: {""errors"":[{""message"":""Issue id cannot be null""}]}","Check issue key, author accountId, and API token validity."
